CA DistanceNominal (au),V relative(km/s),H(mag)
0.00357,2.67,80.0
0.01847,19.72,66.5
0.04437,9.43,59.0
0.00829,4.74,61.5
0.03816,4.43,68.5
0.04916,15.91,59.0
0.02469,8.36,68.5
0.04585,8.32,55.0
0.01806,5.59,66.0
0.04098,5.04,59.0
0.00139,15.7,65.5
0.02208,7.5,65.5
0.04702,5.47,41.0
0.0411,15.3,63.5
0.00368,19.46,57.5
0.03778,13.46,54.0
0.0458,5.6,87.0
0.04344,15.04,47.5
0.02832,14.35,48.00000000000001
0.01795,6.28,68.0
0.0468,4.07,31.999999999999993
0.04003,7.05,68.0
0.04864,12.95,59.0
0.00232,8.14,77.0
0.04947,8.41,63.5
0.00684,5.91,65.0
0.02627,8.17,65.5
0.03775,14.1,44.49999999999999
0.04217,13.75,61.99999999999999
0.04747,9.32,51.99999999999999
0.00994,4.84,32.5
0.02329,9.46,48.00000000000001
0.01138,13.09,63.00000000000001
0.04189,32.19,29.000000000000004
0.03785,6.5,61.0
0.02858,8.93,63.5
0.02499,8.98,53.5
0.00504,6.4,81.5
0.01661,9.05,53.00000000000001
0.01545,13.87,43.5
0.0378,13.86,73.0
0.02494,21.81,61.5
0.01332,10.01,41.99999999999999
0.04874,7.56,58.5
0.04071,12.3,51.5
0.04899,10.13,61.99999999999999
0.0151,13.24,56.5
0.02648,5.44,57.5
0.03516,13.09,55.0
0.04023,9.33,71.5
0.04546,5.62,72.0
0.01322,22.02,59.49999999999999
0.03857,3.59,60.50000000000001
0.02322,8.14,80.5
0.02157,5.19,67.5
0.04044,19.47,80.5
0.0365,9.55,59.0
0.0192,19.67,42.5
0.0375,8.04,65.5
0.0054,4.78,63.5
0.03734,7.58,58.5
0.04666,8.42,62.5
0.03649,12.89,73.0
0.04533,4.85,63.00000000000001
0.04017,16.51,55.50000000000001
0.04071,8.38,66.0
0.01559,3.19,74.0
0.02767,15.61,54.49999999999999
0.03925,3.66,71.5
0.03817,15.31,31.999999999999993
0.04348,6.84,72.5
0.02728,8.46,71.5
0.03131,11.17,66.0
0.01141,14.09,68.0
0.0384,34.6,7.000000000000002
